content,datetime
"Why you're not releasing the global server yet? That's what people want. When you release that, you will earn more. Even it's just a beta, many people are already spending money. What more if it's a global server?
I care about this game, that's why I'm sharing my opinion.",2020-09-13 14:54:34
How do we enter?,2020-09-13 12:02:30
maybe I'll be back when global server release,2020-09-13 13:30:32
It's sad to play that😂,2020-09-13 13:22:02
But what elegance that of France,2020-09-13 13:32:45
We need update,2020-09-13 12:25:02
xxxxxxxxxx gnome angreifen yeah,2020-11-11 20:09:12
More gifts,2020-11-10 19:49:15
"ID ; xxxxxxxxxx
SToRK
The best time to kill gnome are during the double reward for gnome event. It's really worth it. Thanks 😊",2020-11-10 19:59:13
Thanks again! 😊 More content pls!,2020-11-10 17:04:18
Discord link please,2020-11-10 20:21:48
All we can do is hunt and hunt then upgrade to become stronger cant wait for the double rewards again.  :),2020-11-11 19:08:58
"The cloths do make or break you in an attack, , so sometimes you have to head to the change room a couple times to get past that bump in the road, then as usual you can say you look great before you head out to the next dress code party.... Yeah baby

ID xxxxxxxxxx",2020-11-10 18:37:59
The best time to kill gnome are during the double reward for gnome event. It's really cool. Thanks,2020-11-12 04:52:39
Thx for the tip im waiting for server 6 to go online btw when it comes online? 😁,2020-11-11 02:29:36
"Dear players, you will need to help all four Immortals to find their weapons so that you can finally win the rewards.",2020-11-11 11:13:30
"ID : xxxxxxxxxx
Server 5

A - Ramesses II (Is it Ramses?)
B - Harald (The one who never cut his beard?)
C - El Cid
D - William I",2020-11-11 12:12:33
"A-Ramsses
B-Harald
C-El Cid
D-William",2020-11-11 20:08:02
"A - Ramesses II - Khopesh Sword
B - Harald III - Curved Greatsowrd/Axe
C - El Cid - Tizona Sword
D - William I - Flag Pole/Flag Spear

ID-xxxxxxxxxx
Server: Norheim0005",2020-11-11 18:49:29
"Server 5 ID xxxxxxxxxx
1 William D
2 El Cid C
3 Harald III B
4 Ramses II A",2020-11-12 03:13:04
"xxxxxxxxxx

A-ramesses II
B-herald III
C- el cid
D- willam I",2020-11-11 17:54:12
"Ramales. Herald. El cid y William
xxxxxxxxxx",2020-11-11 16:39:06
"1 D
2 C
3 B
4 A",2020-11-11 12:22:36
"A4. Ramsses II
B3. Herald III
C2. El Cid
D1. William I",2020-11-11 11:14:23
"1. William 1 - D
2. El Cid - C
3. Harald III - B
4. Ramesses II - A",2020-11-11 15:37:58
"B 3
A 4
C 2
D 1",2020-11-11 11:36:25
"A4. Ramsses II
B3. Herald III
C2. El Cid
D1. William I",2020-11-11 15:57:48
"1. D
2. C
3. B
4. A",2020-11-11 11:36:25
"A. Ramzes II
B Harald
C El Cid
D William I",2020-11-11 17:29:55
This event is over and all gifts have been sent! Thank you for your participation.🤗🤗Have fun！,2020-11-09 11:17:14
"I'd: xxxxxxxxxx
Grateful",2020-11-06 18:29:26
"For a simple tip to enhance the immortals first is strategize and maximize the use of exp scrolls to the set of immortals that having a common element to ur troop then use the philosophers stone wisely instead by drawing it by one time always make it draw to 10 for high chance of immortal drawed.
Thanks 😊😊😊",2020-11-06 12:16:58
Indeed a great help for every players. We are extremely grateful for all your support and guidance. Kudos.,2020-11-06 13:02:17
Thank you,2020-11-06 18:27:57
Great guidance and suport for every player ❤️,2020-11-07 22:36:59
better than new epics skills,2020-09-14 10:59:40
"A= Ramesses 2
B= Harald 3
C= El Cid
D= William 1",2020-11-12 02:13:38
/ A- Ramsses II / B- Harald / C-El Cid / D - William I,2020-11-11 23:57:56
"ID xxxxxxxxxx

A4. Ramsses II
B3. Herald III
C2. El Cid
D1. William I",2020-11-11 15:44:03
"1. A Ramsses II
2. B Herald III
3. C El Cid
4. D William I",2020-11-11 14:49:27
"A- Ramesses 
B- Harald
C- El Cid
D- William

Northeim-0005
ID -xxxxxxxxxx",2020-11-11 20:58:26
"A: Ramesses II 
B: Harald III
C: El Cid
D. William I",2020-11-11 13:16:18
"xxxxxxxxxx
Norheim_0005
1.D
2.C
3.B
4.A",2020-11-11 11:20:25
Yeaaa They are great tips for anyone who doesn't know!,2020-11-06 15:19:42
"Also, research in academy RAPID PROGRESS, it reduces the amount of time needed for researching. I like the guide that the developer team made : D",2020-11-06 11:51:14
In this guide it says WHEN WILL GLOBAL LAUNCH?,2020-11-06 12:48:29
"xxxxxxxxxx
LAMBANOG

Great guide, easy to follow for starters",2020-11-07 13:59:55
"ID xxxxxxxxxx
 Thanks, we really needed a quick guide ..",2020-11-06 13:24:35
Make attila available again with soul crystal again not gems!!,2020-11-06 12:48:01
The Discord Event channel is here: https://discord.gg/AmbKfnYhgn,2020-11-11 10:45:56
"A - 4
B - 3
C - 2
D - 1",2020-11-11 18:02:16
"xxxxxxxxxx
Norheim-0005

1. D 
2. C
3. B
4. A",2020-11-11 16:29:04
"1 D
2 C
3 B
4 A

ID : xxxxxxxxxx
Server : 5",2020-11-11 11:22:21
Thanks for the guide..,2020-11-08 05:57:09
ID xxxxxxxxxx  - 5 greats tips. gz!,2020-11-06 18:50:15
That was a great help.,2020-11-07 07:48:54
"ID : xxxxxxxxxx
.
I can easily adapt. This game is good.
It's addicting ☺️☺️☺️",2020-11-07 12:11:49
"xxxxxxxxxx
Norheim 1

Good help for newbie.",2020-11-08 15:43:58
Pls help me log in i just purchased a bundle and now im forever stuck on 90% loading page saying failed to query server list! 24 hrs still cant log in   IGN Donjairo,2020-11-08 00:18:36
"I hope that when the global comes out, all those who have invested money will be rewarded with the same amount invested and thus not lose their invested money. Thanks
xxxxxxxxxx",2020-11-06 15:26:22
"Simple, ""5 Commandments"" stick to this until you're imagination runs Wild!
ID xxxxxxxxxx",2020-11-06 11:59:37
Thank you very much I am android,2020-09-14 23:27:13
"global server? guys, you need more people..... many good games launching now.. dont wait too much",2020-09-14 15:22:56
Does the global server opens?,2020-09-14 18:50:59
open server 4 ??,2020-09-14 21:13:26
I look forward to the Spanish language ... To be translating all the time is tiring,2020-09-16 04:13:41
Infinity Kingdom are you going to launch global server or server 4????,2020-09-14 19:01:22
pls give me link android apk new update outside play store.,2020-09-15 18:38:11
New server opens when,2020-09-17 11:29:11
"this game is good, but it lacks events and demands way too many resources for the healing of the troops. Why did you remove the gem rewards in the arena?",2020-11-09 04:29:19
"Does the elements of immortals matter in terms of damage? I'm not talking about the bonus of a full party with the same element, but about the element vs element combat.
For example, is water stronger against fire? Or it only matter in terms of party bonus?",2020-11-09 05:54:14
"This event is over and all gifts promised have been delivered! Here is the list of super winners:
Arthur Miller
Carnegie Andrew
Elgen Tan
Kathy Kath
Brett-Jordan Marshall
Gabriele Barletta
Martina Koleva
Muhammad Ubay
incognitomeeko
ugurcanmoroglu
Congratulations!
We hope that our answers could help a bit. Thank you again for your participation and support! Have fun and enjoy!!!!🤗🤗",2020-11-09 21:14:08
"Hello
I would like in the explanations of the game there are all the levels and the corresponding costs of the immortals and dragons.",2020-11-07 15:21:14
Do we have a full guide of the game?,2020-11-07 17:54:28
What are the origins of each cities?,2020-11-07 13:57:30
I enjoy this game. Ty 😏,2020-11-08 15:08:09
Is there any more info about taking a level 1 city? What recommendations on troop power etc to occupy? Thanks,2020-11-07 21:03:49
"xxxxxxxxxx
Without a doubt the best strategy game ever with historical characters from several countries, including my Portugal, they are simply to be congratulated",2020-11-10 04:32:00
I don't like the new ruins very much,2020-11-07 19:25:37
Can I purchase AP from anywhere using my gems?,2020-11-07 13:59:13
"ID : xxxxxxxxxx

This maybe a silly question but I really just want to verify if I understand it correctly. If on the battle report says that the troop ""died"", it means that they are completely gone and are not part of the troops that I can heal. Am I correct?",2020-11-07 14:07:41
Just started this game recently. Confused 'cause I haven't seen any option where I can share battle report to alliance chat box.,2020-11-07 16:01:45
how to get extra builders if only one can be purchased?,2020-11-07 14:05:14
The most thing that I confused is how other Lord's rank up in arena with 1 troop even the power is only differ by hundreds it's already big deal to win .... Why?,2020-11-07 15:02:52
"P-A-R-T,WHY? BECAUSE I GOTTA",2020-11-07 13:57:51
Im new here. How do ii get a builder?,2020-11-07 13:58:43
"ID : xxxxxxxxxx
Pure Love 

It would be great to add an option to recall troops that are already on their way to a target. Today I ""stole"" a boss from a guild mate, because I could not cancel the attack once it started. My other suggestion is to add an option to fight enemy troops (not only castles) that are already on the map (not in mines).  Rallies for bigger lvl bosses would be great too.",2020-11-08 01:12:36
Which are the strongest immortals ..... and how do you get the black dragon without spending a fortune? You can't put in prizes,2020-11-10 00:01:26
I  am still confuses at how to conquered a town. Because when i attack alone the wall durability is too high and the timer countdown for the town to be repaired again is too fast... is there any strategic move about how to conquered a town or cities?,2020-11-07 14:14:12
If an ally is being attacked and on its way to their village can we intercept it?,2020-11-08 13:37:50
Will there be a way to imprison Enemy Leaders and also will there a Donation System? and since there's a lot of towns here. will there be a limit?,2020-11-07 16:30:17
When the game will be Release in Ost Europa?,2020-11-08 14:50:55
How can i find my id number?,2020-11-08 05:40:42
"ID xxxxxxxxxx - thx for this amazing game, no questions :D",2020-11-07 16:53:08
I love how they are running the game is great excellent graphics and gameplay,2020-09-19 12:10:31
"Damn it was in the level so far and you guys messed with my game back from the beginning that's right.
As I save on Google I'll lose everything I had my dragons that's right I'll go back from the beginning?",2020-09-16 08:53:26
"Well looking forward to some of the changes, and it seems as an alliance there will have to be some challenges to team work. Good read, look forward to the excitement. 
HihoSilver",2020-09-14 17:33:00
You dont need 10 steps to go faster. You only need 1 step to grow super fast. Use your visa and master immortal and everyone in norheim is just a history on you lolz....,2020-09-19 12:29:37
What happened to the server ami it does not let me enter the game,2020-09-20 12:59:08
Wtf why is the lightning dragon breathing fire? 😂😂✌✌,2020-09-20 14:39:16
"So wall defenses now has a weight in defense, not like before that, no matter how well is the research of defense, it will not matter, that's why a lot don't put premise in their defense research because it will be useless putting time on it",2020-09-23 13:53:51
"Memory Modify-Shard 4
The goddesses appeared, and they condensed and refined the dying human souls into a huge red crystal. There was a huge amount of energy, and people seemed to hear the sound of a healer beating. So people always call it the ""World Heart"". -- History of Norheim: Annals of Goddesses

I really liked this system of ruins, congratulations to the team.",2020-09-21 23:33:53
"Hornheim's Disappearance
 Vanish Hornheim - Shard 1

On May 19th, 1481, Hornheim was once again absent from meeting of the Sage Council. The council called by the princess has found no sign of him, and Fajra Arcker and others also said that they had not seen him for days. Where did Hornheim go? He has vanished without a trace. - History of Norheim: Treatises on Alchemy. 

Lord: xxxxxxxxxx",2020-09-21 16:53:41
"This event is over and we have sent out the gifts. Victor Flamel,	incognitomeeko, Tai Bulimaibau, Jober C. Weber, Kayrel Lykos,	Kenneth Ace, and Rio Lobarbio have won the super gifts! Congratulations! Thank you all for your participation!",2020-09-22 11:44:42
"The three kingdoms were created in 1483, each kingdom has its Alchemist, Fajra Archer, Dustan Weed and Omri Collins.",2020-09-22 07:02:36
"Creation and guardians shards10-after the discovery of apostle hill other apostle sucessively discovered similar crystal in many places ,,,,,,",2020-09-21 17:25:09
"Yep!
Empire Crumbles - In March 1482, a noble in the princess banquet reported seeing omri colleens. It is said the Prince Louis invited him into a study for a conversation. No one knows just when he finally left, but the princess was in the very good mood afterwards. Secrets of the Empire.

Harold's Ice Wall- Warriors are buried here, guarding the territory. Tribute to Mr. harold",2020-09-21 21:47:40
Yeh it has history,2020-09-21 16:56:45
Yep thanks,2020-09-22 00:38:16
"In 1483, 3 kingdoms established. ""Ruslan of Charlie, Ydvia of Lothairede, and Vista of Louis"" all of Othanos.
In 1488 Ruslan creates the "" battle of Atar"" in Ydvia. Prompting  Lothairede to bring in Immortals as a response.",2020-09-21 22:46:37
"Kenneth Ace Hornheim's Disappearance
Vanish Hornheim - Shard 1
On May 19th, 1481, Hornheim was once again absent from meeting of the Sage Council. The council called by the princess has found no sign of him, and Fajra Arcker and others also said that they had not seen him for days. Where did Hornheim go? He has vanished without a trace. - History of Norheim: Treatises on Alchemy.",2020-09-21 20:17:35
"Memory Modify-Shard 4
The goddesses appeared, and they condensed and refined the dying human souls into a huge red crystal. There was a huge amount of energy, and people seemed to hear the sound of a healer beating. So people always call it the ""World Heart"". -- History of Norheim: Annals of Goddesses   
  I really liked this system of ruins, congratulations to the team.           ID=xxxxxxxxxx",2020-09-22 06:24:19
"Kenneth Ace Hornheim's Disappearance
Vanish Hornheim - Shard 1
On May 19th, 1481, Hornheim was once again absent from meeting of the Sage Council. The council called by the princess has found no sign of him, and Fajra Arcker and others also said that they had not seen him for days. Where did Hornheim go? He has vanished without a trace. - History of Norheim: Treatises on Alchemy.",2020-09-21 18:28:26
Can't do the exploration yet :(,2020-09-21 23:05:54
New good,2020-09-21 23:32:31
love you game.,2020-09-21 21:09:02
"Actually, I don't know.
ID : xxxxxxxxxx",2020-09-21 22:19:51
"Hornheims disappearance shard 1
Lord id no. xxxxxxxxxx",2020-09-21 16:25:09
"Well of time - Shard 4

If I can alter time and space, I might be able to build somewhere that meets the emperor's requirements. At the same time, it will help me work out what has happened to me. Why can I travel between two or more worlds? Although unstable, it would seem that there is indeed a method to manipulate and travel through time and space. This is truly a great opportunity. -- H., December 5th, 1461

ID : xxxxxxxxxx",2020-09-21 23:38:15
Could you tell me some one why cant find the game on google play? I only can play tru Bluestacks on pc.,2020-09-28 23:57:39
"Consider changing special bundles, 2 to 3 times a week. not all want the heroes there",2020-09-28 17:03:09
"I think it's excellent, besides we have information about the immortal we still get gems for that :)",2020-09-28 13:57:34
Daily deal should be daily right? or maybe make it weekly deals.. change heroes weekly,2020-09-28 17:03:02
Great. Thanks to that I'm doing abit of much needed history lessons :),2020-09-28 22:09:24
What I want is the global launch to play again 😭,2020-09-30 11:09:43
I do not have it,2020-09-30 11:44:19
When does the global launch?,2020-09-26 13:24:34
"We can, but thru cash pay? I doubt it.

Enhance the free to play sir and invite more players asap! The game is dying",2020-09-26 12:09:48
When new server comes out?,2020-09-28 00:39:51
I love this event and I’d be glad to share the posts here with them. But my speech is too plain... I hope that some clever buddies could invite many many friends to come here and make here a lovely place for us to stay when we are not in game! Love you! 🙂,2020-09-24 10:51:04
This game has a lot to offer. I will keep on supporting and always advertise the game. I❤️IK,2020-09-24 18:42:58
"Lets hope to bring more people in the game and more importantly, global release!",2020-09-24 17:29:53
ID xxxxxxxxxx,2020-09-24 17:03:19
"This event is over and we have sent gifts to all friends who have sent us the screenshot of their invitation! Here is the list of super gift winners, they are 
Artur Janosz	
Rio Lobarbio	
현미겔	
Earvin Cabanos	
Kayrel Lykos	
Janzen Mari Quiban	
John Ryan Agustino	
Kenneth Ace	
Carmen Macia
Congratulations! 
Thank you for the support and participation of you all! Have a nice day!🤗🤗",2020-09-27 11:06:00
"Im just gonna hope that everyone would share and like the page so that we could support the game 
P.s I LOVE YOUR GAME ❤️❤️✊✊",2020-09-24 17:48:47
"ID : xxxxxxxxxx
I hope i choose to get some rewards, to help me to grow in this Game, hehehe nothing to say a good game,",2020-09-24 18:53:45
"Well the infinity kingdom has gone worldwide, meet new friends and delete them into infinity, learn historical facts, and all about heroines and hero's of our past. Train them and build your realm.

ID  xxxxxxxxxx",2020-09-27 09:38:08
Enjoying the game!,2020-09-25 10:20:24
Hopefully the game reaches more people // hopefully the game reaches more people,2020-09-24 18:18:25
"Hey Im in! Love IK and all of my friends from GW alliance, my ID is xxxxxxxxxx!",2020-09-24 11:10:05
"When are you going to create a new server? Many players would like to start over, because they played the wrong way in the beginning. Create the server 5 plis",2020-09-27 12:58:39
Lets hope to bring more people in the game and more importantly.,2020-09-26 05:02:07
"Very good game I have a week playing what good Mexicans and Latin America take into account by moteczuma el azteca mexica

 The same if they tell me how to pass me another server, a new step is announced

Doubt no progress is lost or if to migrate another server?",2020-09-18 09:59:41
Any redeem codes ?,2020-09-17 22:17:10
I am really looking forward to the migration option. I hope that the game goes global soon.,2020-09-17 16:43:47
When will the global server open?,2020-09-17 15:55:23
Work the old servers! We need new players. Old servers are dying,2020-09-20 08:42:58
And the global launch?,2020-10-12 19:23:01
kinda wish there are more stuff to do in game (: not wait for a VERY LONG TIME. oh well. back to s4 xd,2020-10-13 03:33:53
s5 please,2020-10-12 19:34:54
This event is over and Daisy has sent out all the gifts! Thank you for sharing your map with us! Have a nice day!🤗🤗,2020-10-09 11:09:31
When are you going to fix the arena?,2020-10-07 13:18:19
"This we already know, what we don't know and what we want to know is WHERE IS THE GLOBAL LAUNCH?",2020-10-07 04:17:02
Alliance: TG,2020-10-08 12:47:58
"xxxxxxxxxx - XaĐee
Guild Name: (TG) THE GODIES",2020-10-07 02:29:26
(GW) Great War !!!!,2020-10-07 16:02:40
eyyy! (AQUA) Alpha Omega Gods,2020-10-08 00:25:37
Hi xxxxxxxxxx - SmiGi Guild Na me : Active Legends,2020-10-07 16:44:25
Well I love everything in this game! I can't say anything else haha,2020-09-22 16:13:03
"The ruins make your game much easier and have more to do. It's a start, but I think the elemental auras could have a bigger impact. Some complaints: I did not like to remove the permanent creator of VIP 6, game on the first server and I did not worry about the benefits that existed in the beginning (p2w) but now you have placed several growth packs with strong heroes (Merlin and Zenobia in the first packs vip) I will not lie that it discourages me a little and I hope that they will reduce or even remove some of these packages. Good luck to you.",2020-09-22 12:28:33
"The event is over and all gifts have been sent! Check your mail to claim the gifts promised. 
Earvin Cabanos
Mark Kenneth G Nguyen
Kenneth Ace
Elgen Tan
Dennis Freudenberg
Justin de la Rosa
incognitomeeko
These friends have won the super prize. Congratulations! 
Thanks again for your participation. Have a nice day!🤗🤗",2020-09-25 14:07:06
The Ruins are great i love what they gave after ruin exploration ❤️❤️ and also the wind dragon changes ❤️❤️,2020-09-22 15:05:56
"Elemental Aura need to be buffed. Not much benefit compared to a well composed team of different element.
Sail for 8 hrs? not much for the rewards",2020-09-22 20:13:25
The ruin is great and i love the graphics 😊😍👍,2020-09-22 15:33:22
never or saw no market.,2020-10-09 09:32:11
"It would be even better if it was actually in the market, can't find him at all🥺",2020-10-08 15:10:30
Only one dark immortal in the market is Medb please do something i really want him in my team :c,2020-10-27 05:51:38
Global ?,2020-10-09 10:29:36
doesn't come on the market...,2020-10-10 23:39:01
"1. Ruins are great idea, good additional help to resources and items to seekers!

2. Elemental buff, the effect is so small that it does not affect the game. So no significant changes in the game, not that important.

3. New immortals, i will say this is for cash purchase only, havent tried. I suggest to make all immortals available in market thru souls purchase. Cause some are also gems only immortals.

4. Boss hunt changes is the best changes in the new version, this will make dragons level up faster. Lols

5. Search for gnomes level is also ok, bad side of this players will no longer going around to search for farming levels, move to just hunt boss.

6. Need to improve max AP, too small and it limits our daily game.",2020-09-22 19:08:45
"About the ruins they are very good and essential for development but the game has many errors (bugs) that make progress difficult.
I hope the team really read our opinions and so I'll list a few things, first is the power bug where you lose power for no apparent reason or just by logging into different devices, also bug in the evolution of buildings that give negative power when evolved, mainly soldiers' buildings, wrong translations, mainly vips benefits, there are bugs in heroes, those heroes who are not on any team give power what I think is wrong since they are not being used, the boat is a useless construction because the his award for 8 hours of browsing is ridiculous and finally there are bugs in the messages where they disappear, i hope they fix it urgently.",2020-09-23 01:25:06
"Comment: I love the 4 new immortals, Kudos for the ruins exploration, it is a great idea for those who really spend time on the game, they can do exploration on the map while waiting for upgrades to be done without experiencing boredom, and the best part of the update is Elemental auras, that really caught my attention, that is really a great idea to promote team Elemental composition..... oh and by the way i also love the update for legendary immos, you can now equip 3 skills for full 7 star immortal. That way it is now much powerful than purple ones! Coz i remember before, 7star medb is a lot usefull than my 7 star Cleo",2020-09-22 16:21:06
"Comment: I love the 4 new immortals, Kudos for the ruins exploration, it is a great idea for those who really spend time on the game, they can do exploration on the map while waiting for upgrades to be done without experiencing boredom, and the best part of the update is Elemental auras, that really caught my attention, that is really a great idea to promote team Elemental composition..... oh and by the way i also love the update for legendary immos,  you can now equip 3 skills for full 7 star immortal. That way it is now much powerful than purple ones! Coz i remember before, 7star medb is a lot usefull than my 7 star Cleo 😂😂

Suggestion: About the new immortals, I've notice that you've created a shadow element immo, my dilemma is how can we use 5 shadow man team if the dragon is not yet available , same goes with holy element. Suggestion about elemental aura , try to make other team buff not just Additional damage and damage reduction buff, specially when using broken element team. Oh almost forgot about 2 new things boss rally and rebel rally .. Kudos to boss rally but quite disappointed about rebel rally, doing rebel rally is not worth with the plunder you get. Overall still a goodjob #IK❤️",2020-09-22 15:54:21
"xxxxxxxxxx: I love the 4 new immortals, Kudos for the ruins exploration, it is a great idea for those who really spend time on the game, they can do exploration on the map while waiting for upgrades to be done without experiencing boredom, and the best part of the update is Elemental auras, that really caught my attention, that is really a great idea to promote team Elemental composition..... oh and by the way i also love the update for legendary immos, you can now equip 3 skills for full 7 star immortal. That way it is now much powerful than purple ones! Coz i remember before, 7star medb is a lot usefull than my 7 star Cleo 😂😂  Suggestion: About the new immortals, I've notice that you've created a shadow element immo, my dilemma is how can we use 5 shadow man team if the dragon is not yet available , same goes with holy element. Suggestion about elemental aura , try to make other team buff not just Additional damage and damage reduction buff, specially when using broken element team. Oh almost forgot about 2 new things boss rally and rebel rally .. Kudos to boss rally but quite disappointed about rebel rally, doing rebel rally is not worth with the plunder you get. Overall still a goodjob #IK❤️",2020-09-22 16:29:29
"1. New immortals does not  met my expectations  they are shiit
2. Ruins is fun
3. I don't feel the effect of elemental auras at all, i got 4 earth immortals and earth dragon, i guess it's still better to have mix line ups than same element line ups.
4. The counters of elementals ex.( earth counters water) and troops ex.(spear counters cavalry) are not in effect, FIX IT.
5. Return saladin, baldwin, qin emperor.",2020-09-22 15:35:21
"Hi Game Dev, 
I like the concept of putting elements into play however this makes your troops limited to immortals with certain type of element and there's no synergy where you can mixed up elements or maybe have a certain type of upgrade stones where you can change the element of the immortal.
Upgrades takes longer and speedup reliant not very good for f2p players.
AP and SP regen takes too long to replenish this lets player easily off the hook since there's not much in the game meant for grinding. - easiest way to attract spenders is to attract f2p players popularity will always rack up sales. If you will stick with this there should be a way of minimizing the cost of each attack. Like allies can rally gnomes or rally cities or rally a boss. This will boost time spent in game and camaraderie eventually would increase likeliness of inviting friends to play the game.
There should be a free 2nd builder that's unlockable by either certain vip level or by reaching certain level of city hall. this is common to every strat game.
Ruins is fun time killer but scout is limited. It should have its own building that's upgradeable to increse march speed and number of scout - spy is very reliable in every war game.
We can't view members of other alliance by clicking on their guild.
I'm not sure of how the arena match making is done it's still imbalance.
Dragons are quiet good concept - when auto fighting their skills should be optional to be clickable or auto as timing is your best ally.
That's all for my 3 days game exp. Hope to see more. Kodus to you guys!",2020-09-23 22:00:27
"The Ruins are a great idea, they give decent stuff and keep us playing the game for hours, Elemental buffs should have bigger impacts tho. Like make it increase the trigger rate of skills, for example a skill has a 55% stun rate. Now when you have 5 of the same element it increases that probability by 5% can also work with dragon skills making us focus elemental affinity. 
Server 4",2020-09-22 12:35:25
"Comment: I love the 4 new immortals, Kudos for the ruins exploration, it is a great idea for those who really spend time on the game, they can do exploration on the map while waiting for upgrades to be done without experiencing boredom, and the best part of the update is Elemental auras, that really caught my attention, that is really a great idea to promote team Elemental composition..... oh and by the way i also love the update for legendary immos, you can now equip 3 skills for full 7 star immortal. That way it is now much powerful than purple ones! Coz i remember before, 7star medb is a lot usefull than my 7 star Cleo",2020-09-22 16:21:07
"I like the Ruins System that let you look around all over the Map,just to find even the last level 5 Ruin. I would really love a Water Element Support too, then it seems every other Element got one. Hopeful you find one would be amazing, but still a Nice Game. Good Job!",2020-09-22 12:03:58
"Dear all, this event is over and we have sent gifts to all participants. Please check your mail to claim it. Besides, Daisy has chosen 7 comments that she loves the most! Here is the list for super winners: 
Markus Hinze
Terry Ramin
Artur Janosz
Darryl Joe David
Elgen Tan
현미겔
Kenneth Ace
Congratulations! 
Thank you again for participating and sharing your opinion with us! Enjoy the rewards and have a nice day!🥰🥰",2020-10-02 14:56:27
"merlin is best paired with helen, helens freeze will give merlin an additional 50% damage, also use water dragon for more freeze effect.",2020-09-29 14:40:01
"xxxxxxxxxx norheim 002

Strategy is to collect and collect immortal shards and beat em all up😁

And the best strategic move will be is to buy special bundles especially the $99.99 usd. It will make you very strong😁",2020-09-30 13:56:39
"It was cool when it lasted now after my profile zeroed out of the fun of the game. I really liked it, I even thought it would be worth spending some money but fooling myself with the game.",2020-09-30 08:24:11
"I think this shows a lot of to omise and will help alot of players know the game more and persue the path to power 💪 tho the site on mobile needs a little more improvement, it will definitley play a big part in the games future 👍",2020-09-29 15:50:22
"Strategy center, nice. I did puck up a lot of hints in the chapters of the ruins. Even the Keeners and day oners would appreciate some direction to their curiousity. Picking an immortal is one thing but which armoured Toto to wear 😂 misplaced equipment on an immortal can cost days and resources. Changing line ups should be researched wisely, throw a query on the chats players always have great advice, on your alliance or not.

ID xxxxxxxxxx
Cheers",2020-09-29 15:08:30
The land is very populated...,2020-09-22 11:01:25
"Everything is good and nice.
Lord id no. xxxxxxxxxx",2020-09-22 20:17:24
When new server?,2020-09-22 12:16:39
Lower Some Purchase like the fragments of every mortals thankyou,2020-09-23 08:31:52
"The only issue that I find is that you get too few soul crystal from the harbor, kinda making it useless. I believe it would be best to make the harbor an upgradable building where the higher the level the more soul crystal you'll get. And it would be best to increase the free daily arena chances to at least 10. Aside from those points, I find the graphic and mechanics, great!",2020-09-22 15:15:04
"i found the ruins very good it helps them a lot. I found the hero packs a lot favoring the pw. The globins summing up without having to look far I am very good too. and I hope that the global leaves soon * - *

  id = xxxxxxxxxx",2020-09-22 11:49:54
"I am very satisfied so far and I am in a good mood if you are lucky enough to get into the right coalition. Often there is a lack of cooperation or since the energy is always used up quickly, there is not much you can do except farms in the dated maps ... really good the game is worth it and hope there will soon be coalition wars like the Red Fraction arena against blue and green against blue faction would be interesting but very successful in itself",2020-09-29 14:24:04
"The game mechanics are very simple, just read, observe, understand and lastly the most important thing is use your CC's.👍",2020-09-29 14:41:51
ELEMENTAL synergy is your best ally. Always lead a troop with atleast 3 same elements that will par with your DRAGON.  Adding a healer type immortal wont hurt your line up. If you do not know how your build will be always practice with Gnomes and see which is your best pick so far.,2020-09-29 15:00:05
"Id xxxxxxxxxx
Server norheim 2

Good idea to make a solid 1 element troops.

My opinion the best would be water element,

Ramses + Atilla + Merlin + Helen = OP

water have good range and good nuke magic immortals. And great if you can get Ramses that allows your troops to be more durable in battle. The effects of your immortals great affect the battle, - atk speed of Helen, silence of Attila and Disarm of Ramses. 

And add damage and heal skills in tower of knowledge
-support, grace (heal) 
-meteor, silence, stray arrow, root (damage)
-garote, nova, cblade (area dmg)

Surely you will be top10 in arena ranking with this line up.",2020-09-30 13:25:18
"Yi syeon ge, Peter the great and Richard 1 are good lightning elemental trio, paired with a super high lightning dragon/taranis lvl that has max lvl of skills and lvl 25 super adult dragon gives 4 percent bonus damage and -4 received damage. Pair it with another healer like moctezuma or zenobia and have max stars for each immortal. Max plus( the one that you upgrade when you use materials from the well of time) for them is good as well. Don't forget to have a very high level of troops to support your team  soundly. Rush your castle to have higher level of troops. Don't forget the talent book as well for the military side, I personally prefer the critical talent because this team/my team is damage based and stun based.",2020-09-29 15:32:24
"I'm enjoying everything, I just want you to create more immortals to have more compositions and less packages with fragments of immortals.",2020-09-30 03:23:03
People sleep on the lightning dragon it does true damage that get DOUBLED when the opponent is stunned.,2020-09-29 15:10:09
"I must admit, the STRATEGY CENTER is a big help, not only for pioneer players but specially to new players that are confuse and no where to go where to start. From Elemental Aura explanation, Unit recommendation, immortal list, dragons and its skills are well provided,  equipment rarity and allocations, good counter illustration, down to the most important factor of the game ""Tower of Knowledge"".
A very user friendly website. Thumbs up 👍.
Hope in the near future, you would also incorporate in this site on how the castle siege goes, like the mechanics or explanation about castle, town cities etc... A lot of new players are confuse about it and keep on messaging me privately.",2020-09-29 14:02:55
"A very good idea, unfortunately the display of the page on the smartphone is a bit not transparent and it would be necessary to work on it here, many people wonder on what levels the gnomes can get, so it would be great if there was an outline of it.

 The next step that would be useful when planning a development strategy are the levels of buildings and their requirements.

 The rest of the really great job was missing that especially when you start the game, you really are developing in a great direction.",2020-09-29 15:12:20
